Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Relative Effort,Commute,Activity Gear,Filename
1220977222,"8 Oct 2017, 07:10:27",Morning Ride,Ride,,26087,128.70,281,false,,activities/1327113148.fit.gz
1228532139,"13 Oct 2017, 16:28:23",Afternoon Run,Run,,3455,8.66,15,false,,activities/1334739517.fit.gz
1229297206,"14 Oct 2017, 09:07:56",Morning Run,Run,,2702,6.51,12,false,,activities/1335518827.fit.gz
1239848451,"21 Oct 2017, 07:51:27",Run around Judarskogens naturreservat,Run,"",2614,6.85,39,false,,activities/1346201702.fit.gz
1251463127,"28 Oct 2017, 12:15:17",Afternoon Run,Run,,3331,7.85,34,false,,activities/1357956731.fit.gz
1252013028,"29 Oct 2017, 09:44:41",Morning Ride,Ride,,11423,60.44,86,false,,activities/1358515254.fit.gz
1258216967,"2 Nov 2017, 17:36:57",Afternoon Run,Run,,2803,7.91,32,false,,activities/1364781970.fit.gz
1258961001,"3 Nov 2017, 08:08:06",Morning Run,Run,,1817,5.26,20,false,,activities/1365531498.fit.gz
1260440884,"4 Nov 2017, 10:50:26",Morning dog walk,Run,"",2067,2.53,13,false,,activities/1367030682.fit.gz
1262064325,"5 Nov 2017, 08:51:56",Morning Ride,Ride,,8285,48.66,74,false,,activities/1368677055.fit.gz
1284447063,"20 Nov 2017, 11:59:42",Lunch Run,Run,,2134,5.35,29,false,,activities/1391165523.fit.gz
1284448592,"20 Nov 2017, 15:37:43",Morning Ride,Ride,,3886,4.21,9,false,,activities/1391167064.fit.gz
1284448888,"20 Nov 2017, 16:53:30",Lunch Swim,Swim,,1166,193,,false,,activities/1391167359.fit.gz
1284448974,"20 Nov 2017, 17:17:51",Lunch Swim,Swim,,697,55,,false,,activities/1391167465.fit.gz
1284785269,"21 Nov 2017, 16:13:19",Afternoon Run,Run,,1868,5.15,15,false,,activities/1391503980.fit.gz
1284785718,"21 Nov 2017, 16:54:58",Afternoon Ride,Ride,,2143,0,33,false,,activities/1391504439.fit.gz
1289740148,"24 Nov 2017, 16:33:14",Afternoon Run,Run,,1459,3.82,5,false,,activities/1396488854.fit.gz
1289740468,"24 Nov 2017, 17:09:01",Afternoon Ride,Ride,,2532,0,25,false,,activities/1396489177.fit.gz
1298965801,"30 Nov 2017, 23:08:09",Night Run,Run,,124772,8.34,51,false,,activities/1405864724.fit.gz
1325514049,"24 Dec 2017, 10:10:42",Lindesfarne run,Run,"",2355,5.68,14,false,,activities/1433133162.fit.gz
1326732707,"25 Dec 2017, 13:22:48",Afternoon Run,Run,,2221,4.93,10,false,,activities/1434406934.fit.gz
1339324604,"3 Jan 2018, 19:12:13",Evening Ride,Ride,,932,0,12,false,,activities/1447488640.fit.gz
1339401920,"3 Jan 2018, 19:35:53",Evening Run,Run,,2100,5.01,50,false,,activities/1447566178.fit.gz
1343164429,"6 Jan 2018, 10:11:43",Morning Run,Run,,2908,8.17,71,false,,activities/1451445878.fit.gz
1345385658,"7 Jan 2018, 13:11:22",Afternoon Run,Run,,4290,11.52,75,false,,activities/1453740550.fit.gz
1347266271,"8 Jan 2018, 18:22:57",Evening Ride,Ride,,1902,0,33,false,,activities/1455827131.fit.gz
1353325768,"12 Jan 2018, 14:37:07",Afternoon Run,Run,,3139,8.33,27,false,,activities/1462075912.fit.gz
1356547087,"14 Jan 2018, 10:19:20",Morning Ride,Ride,,5264,34.52,81,false,,activities/1465401088.fit.gz
1358765971,"15 Jan 2018, 18:00:01",Evening Run,Run,,1832,5.00,27,false,,activities/1467699092.fit.gz
1358840633,"15 Jan 2018, 18:41:32",Evening Ride,Ride,,1805,0,28,false,,activities/1467774314.fit.gz
1364630594,"19 Jan 2018, 14:11:29",Afternoon Ride,Ride,,2191,0,29,false,,activities/1473768203.fit.gz
1364682021,"19 Jan 2018, 14:48:49",Afternoon Run,Run,,2402,6.44,43,false,,activities/1473821804.fit.gz
1365928674,"20 Jan 2018, 10:16:18",Morning Run,Run,,3172,8.35,15,false,,activities/1475135722.fit.gz
1367848538,"21 Jan 2018, 10:33:20",Morning Run,Run,,5591,14.52,84,false,,activities/1477155635.fit.gz
1373292318,"24 Jan 2018, 17:47:48",Afternoon Run,Run,,1840,4.93,12,false,,activities/1482771180.fit.gz
1373376993,"24 Jan 2018, 18:24:39",Evening Ride,Ride,,2414,0,30,false,,activities/1482855812.fit.gz
1376407017,"26 Jan 2018, 17:42:32",Afternoon Run,Run,,1893,5.00,14,false,,activities/1485935415.fit.gz
1376453133,"26 Jan 2018, 18:35:43",Evening Ride,Ride,,922,0,20,false,,activities/1485984277.fit.gz
1387723501,"2 Feb 2018, 11:05:39",Off to the bank,Run,"",6792,16.14,78,false,,activities/1497681556.fit.gz
1388992489,"3 Feb 2018, 09:46:55",Morning Run,Run,,2750,6.04,21,false,,activities/1498986793.fit.gz
1391003529,"4 Feb 2018, 10:43:36",Steady Sunday stroll in the sunshine.,Run,"",4516,5.88,11,false,,activities/1501071863.fit.gz
1398854557,"9 Feb 2018, 10:05:36",Running in Stockholm with Alex,Run,"",2526,7.20,65,false,,activities/1509308808.fit.gz
1400530530,"10 Feb 2018, 12:12:02",Cross country Ski (taster),Nordic Ski,"",1973,2.52,6,false,,activities/1511307243.fit.gz
